"Architecture","Build","CoHigherIsBetter","CoName","CorrectedBuild","CoUnitOfMeasure","CounterID","Flavor","Hidden","InstallType","Lab","LabRunID","Locale","LrFileDeleted","LrFileStoragePath","MachineName","Memory","Milestone","OS_Architecture","OS_Locale","Procs","ResultValue","ResultValueItems","ScFriendlyName","ScName","Sku","StdDev","SubOSName","TcName","TestIterations"
"AMD64","51206.00_DDRPS","False","ElapsedTime","51206.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122616,"English","True","\\ddrps\logs\BA\DevDiv-Main\51206.00.AMD64RET\122616_VSPERFMSI_RPS","DDPERFX260",4096,"M0","AMD64","English",2,33.800000,"752.000000X, 56.000000, 135.000000X, 23.000000, 14.000000, 58.000000, 18.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","21.4289523775662","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51205.00_DDRPS","False","ElapsedTime","51205.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122604,"English","True","\\ddrps\logs\CB\DevDiv-Main\51205.00.AMD64RET\122604_VSPERFMSI_RPS","DDPERFX215",4096,"M0","AMD64","English",2,109.400000,"1029.000000X, 2419.000000X, 57.000000, 147.000000, 205.000000, 64.000000, 74.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","64.4461015112629","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51203.00_DDRPS","False","ElapsedTime","51203.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122312,"English","True","\\ddrps\logs\CC\DevDiv-Main\51203.00.AMD64RET\122312_VSPERFMSI_RPS","DDPERFX244",4096,"M0","AMD64","English",2,62.600000,"628.000000X, 25.000000, 160.000000, 30.000000, 33.000000, 625.000000X, 65.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","56.6683333088243","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51201.00_DDRPS","False","ElapsedTime","51201.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122227,"English","True","\\ddrps\logs\CB\DevDiv-Main\51201.00.AMD64RET\122227_VSPERFMSI_RPS","DDPERFX266",4096,"M0","AMD64","English",2,172.200000,"571.000000X, 40.000000, 48.000000, 535.000000X, 259.000000, 143.000000, 371.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","142.136202284991","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51130.01_DDRPS","False","ElapsedTime","51130.01","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122217,"English","True","\\ddrps\logs\AF\DevDiv-Main\51130.01.AMD64RET\122217_VSPERFMSI_RPS","DDPERFX101",4096,"M0","AMD64","English",2,69.600000,"57.000000, 44.000000, 506.000000X, 138.000000, 38.000000, 149.000000X, 71.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","40.2901973189509","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51130.00_DDRPS","False","ElapsedTime","51130.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122209,"English","True","\\ddrps\logs\AF\DevDiv-Main\51130.00.AMD64RET\122209_VSPERFMSI_RPS","DDPERFX084",4096,"M0","AMD64","English",2,136.000000,"751.000000X, 136.000000, 140.000000, 52.000000, 730.000000X, 75.000000, 277.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","87.5699720223776","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51129.01_DDRPS","False","ElapsedTime","51129.01","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",122101,"English","True","\\ddrps\logs\BC\DevDiv-Main\51129.01.AMD64RET\122101_VSPERFMSI_RPS","DDPERFX191",4096,"M0","AMD64","English",2,402.200000,"494.000000, 533.000000, 54.000000, 442.000000, 488.000000, 48.000000X, 758.000000X","01010. Step Over","01010. Step Over","Visual Studio Ultimate","197.309908519567","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51128.00_DDRPS","False","ElapsedTime","51128.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",121901,"English","True","\\ddrps\logs\BD\DevDiv-Main\51128.00.AMD64RET\121901_VSPERFMSI_RPS","DDPERFX220",4096,"M0","AMD64","English",2,186.800000,"179.000000, 317.000000, 76.000000, 203.000000, 387.000000X, 159.000000, 597.000000X","01010. Step Over","01010. Step Over","Visual Studio Ultimate","87.0700867117979","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51127.00_DDRPS","False","ElapsedTime","51127.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",121795,"English","True","\\ddrps\logs\CE\DevDiv-Main\51127.00.AMD64RET\121795_VSPERFMSI_RPS","DDPERFX215",4096,"M0","AMD64","English",2,195.000000,"186.000000, 140.000000, 428.000000, 524.000000X, 152.000000, 69.000000, 488.000000X","01010. Step Over","01010. Step Over","Visual Studio Ultimate","137.040140105007","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51113.00_DDRPS","False","ElapsedTime","51113.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",120905,"English","True","\\ddrps\logs\AA\DevDiv-Main\51113.00.AMD64RET\120905_VSPERFMSI_RPS","DDPERFX134",4096,"M0","AMD64","English",2,239.600000,"789.000000X, 206.000000, 598.000000X, 175.000000, 166.000000, 347.000000, 304.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","81.2422303977433","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51112.00_DDRPS","False","ElapsedTime","51112.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",120809,"English","True","\\ddrps\logs\BA\DevDiv-Main\51112.00.AMD64RET\120809_VSPERFMSI_RPS","DDPERFX116",4096,"M0","AMD64","English",2,142.400000,"193.000000, 196.000000, 1617.000000X, 86.000000, 80.000000, 328.000000X, 157.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","56.3941486326374","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51109.00_DDRPS","False","ElapsedTime","51109.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",120703,"English","True","\\ddrps\logs\AE\DevDiv-Main\51109.00.AMD64RET\120703_VSPERFMSI_RPS","DDPERFX128",4096,"M0","AMD64","English",2,80.600000,"71.000000, 108.000000, 81.000000, 521.000000X, 89.000000, 154.000000X, 54.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","20.1320639776452","Service Pack 1","devdiv\vc\Auto7",5
"AMD64","51108.00_DDRPS","False","ElapsedTime","51108.00","ms",928505,"RET","False","VSPERFMSI_RPS","DevDiv-Main",120595,"English","True","\\ddrps\logs\CC\DevDiv-Main\51108.00.AMD64RET\120595_VSPERFMSI_RPS","DDPERFX174",4096,"M0","AMD64","English",2,207.800000,"58.000000, 691.000000X, 102.000000, 341.000000, 987.000000X, 473.000000, 65.000000","01010. Step Over","01010. Step Over","Visual Studio Ultimate","188.479972410864","Service Pack 1","devdiv\vc\Auto7",5
